original,seasonal,trend
-0.2829086184501648,0.246867835521698,-0.5297764539718628
-0.2862849831581116,0.24732404947280884,-0.5336090326309204
-0.10058662295341492,0.43843671679496765,-0.5390233397483826
-0.26265066862106323,0.2796577215194702,-0.5423083901405334
-0.566520631313324,-0.016577482223510742,-0.5499431490898132
-0.5563916563987732,0.00231170654296875,-0.5587033629417419
-0.7792297005653381,-0.2173628807067871,-0.561866819858551
-0.981809675693512,-0.4119735360145569,-0.5698361396789551
-0.5969076752662659,-0.025033533573150635,-0.5718741416931152
-0.2795323133468628,0.30021995306015015,-0.5797522664070129
-0.8332510590553284,-0.24708068370819092,-0.5861703753471375
-0.8568854331970215,-0.2671259045600891,-0.5897595286369324
-0.5698969960212708,0.021748363971710205,-0.591645359992981
-0.02293093129992485,0.5685927867889404,-0.5915237069129944
-0.14447897672653198,0.44893068075180054,-0.5934096574783325
-0.036436278373003006,0.5604409575462341,-0.5968772172927856
-0.04994161054491997,0.545749306678772,-0.595690906047821
-0.29303765296936035,0.3038395643234253,-0.5968772172927856
0.1290040910243988,0.7298356294631958,-0.6008315086364746
-0.43821999430656433,0.1650448739528656,-0.6032648682594299
-0.7859823703765869,-0.18034487962722778,-0.6056374907493591
-0.7015740275382996,-0.092681884765625,-0.6088921427726746
-0.7994877099990845,-0.18755382299423218,-0.6119338870048523
-0.8974014520645142,-0.2815437316894531,-0.615857720375061
-0.9142830967903137,-0.2952011823654175,-0.6190819144248962
-0.9412937760353088,-0.3199306130409241,-0.6213631629943848
-1.0054441690444946,-0.3814650774002075,-0.6239790916442871
-0.9446700811386108,-0.31856173276901245,-0.6261083483695984
-0.7319610714912415,-0.10262852907180786,-0.6293325424194336
-0.6745633482933044,-0.042432427406311035,-0.6321309208869934
-0.5496389865875244,0.08456027507781982,-0.6341992616653442
-1.1101105213165283,-0.4739949107170105,-0.6361156105995178
-0.7184556722640991,-0.08103203773498535,-0.6374236345291138
-1.062841773033142,-0.426543653011322,-0.6362981200218201
-1.062841773033142,-0.4266653060913086,-0.6361764669418335
-1.1978951692581177,-0.5614145994186401,-0.6364805698394775
-1.1607553958892822,-0.52509605884552,-0.6356593370437622
-1.1438738107681274,-0.510526180267334,-0.6333476305007935
