original,seasonal,trend
-0.2829086184501648,0.10771167278289795,-0.39062029123306274
-0.2862849831581116,0.1185026466846466,-0.4047876298427582
-0.10058662295341492,0.3171767294406891,-0.417763352394104
-0.26265066862106323,0.16391760110855103,-0.42656826972961426
-0.566520631313324,-0.1322728395462036,-0.43424779176712036
-0.5563916563987732,-0.11691388487815857,-0.4394777715206146
-0.7792297005653381,-0.32353225350379944,-0.4556974470615387
-0.981809675693512,-0.5175720453262329,-0.46423760056495667
-0.5969076752662659,-0.11737725138664246,-0.4795304238796234
-0.2795323133468628,0.2152908742427826,-0.4948231875896454
-0.8332510590553284,-0.3204869031906128,-0.5127641558647156
-0.8568854331970215,-0.3269086480140686,-0.5299767851829529
-0.5698969960212708,-0.023038506507873535,-0.5468584895133972
-0.02293093129992485,0.5390217304229736,-0.5619526505470276
-0.14447897672653198,0.43210452795028687,-0.5765835046768188
-0.036436278373003006,0.5602066516876221,-0.5966429114341736
-0.04994161054491997,0.5621265172958374,-0.6120681166648865
-0.29303765296936035,0.3371037244796753,-0.6301413774490356
0.1290040910243988,0.7791386842727661,-0.6501345634460449
-0.43821999430656433,0.2264130413532257,-0.66463303565979
-0.7859823703765869,-0.10201811790466309,-0.6839642524719238
-0.7015740275382996,-0.0031777024269104004,-0.6983963251113892
-0.7994877099990845,-0.09089618921279907,-0.7085915207862854
-0.8974014520645142,-0.17252415418624878,-0.7248772978782654
-0.9142830967903137,-0.1851688027381897,-0.729114294052124
-0.9412937760353088,-0.2035731077194214,-0.7377206683158875
-1.0054441690444946,-0.25375473499298096,-0.7516894340515137
-0.9446700811386108,-0.18046832084655762,-0.7642017602920532
-0.7319610714912415,0.055411577224731445,-0.7873726487159729
-0.6745633482933044,0.13366305828094482,-0.8082264065742493
-0.5496389865875244,0.26891499757766724,-0.8185539841651917
-1.1101105213165283,-0.2885773777961731,-0.8215331435203552
-0.7184556722640991,0.10512983798980713,-0.8235855102539062
-1.062841773033142,-0.24581044912338257,-0.8170313239097595
-1.062841773033142,-0.2353503704071045,-0.8274914026260376
-1.1978951692581177,-0.35127121210098267,-0.846623957157135
