original,seasonal,trend
-0.2829086184501648,-0.23417530953884125,-0.04873330518603325
-0.2862849831581116,-0.2355867177248001,-0.05069826915860176
-0.10058662295341492,-0.048032548278570175,-0.05255407467484474
-0.26265066862106323,-0.20810040831565857,-0.05455026775598526
-0.566520631313324,-0.5102003216743469,-0.05632029473781586
-0.5563916563987732,-0.4982857406139374,-0.05810592323541641
-0.7792297005653381,-0.7193459272384644,-0.05988375097513199
-0.981809675693512,-0.92087322473526,-0.06093643605709076
-0.5969076752662659,-0.5343961715698242,-0.06251152604818344
-0.2795323133468628,-0.2168024778366089,-0.0627298429608345
-0.8332510590553284,-0.7710280418395996,-0.06222299486398697
-0.8568854331970215,-0.7954421639442444,-0.0614432618021965
-0.5698969960212708,-0.5091321468353271,-0.060764867812395096
-0.02293093129992485,0.03657853230834007,-0.05950946360826492
-0.14447897672653198,-0.08664599061012268,-0.057832982391119
-0.036436278373003006,0.019696839153766632,-0.05613311752676964
-0.04994161054491997,0.004273306578397751,-0.05421491712331772
-0.29303765296936035,-0.24079549312591553,-0.05224216356873512
0.1290040910243988,0.1790083348751068,-0.050004251301288605
-0.43821999430656433,-0.39074215292930603,-0.047477837651968
-0.7859823703765869,-0.7413038015365601,-0.044678546488285065
-0.7015740275382996,-0.6593127250671387,-0.04226130247116089
-0.7994877099990845,-0.7598697543144226,-0.039617929607629776
-0.8974014520645142,-0.8602553606033325,-0.03714609891176224
-0.9142830967903137,-0.8790395855903625,-0.035243526101112366
-0.9412937760353088,-0.9029390215873718,-0.03835473582148552
-1.0054441690444946,-0.9694676995277405,-0.03597647696733475
-0.9446700811386108,-0.9112511873245239,-0.03341890498995781
-0.7319610714912415,-0.701318085193634,-0.030642971396446228
-0.6745633482933044,-0.64851313829422,-0.026050202548503876
-0.5496389865875244,-0.5285869836807251,-0.021051974967122078
-1.1101105213165283,-1.0941659212112427,-0.015944577753543854
-0.7184556722640991,-0.7066905498504639,-0.011765122413635254
-1.062841773033142,-1.0558799505233765,-0.0069618369452655315
